"x","y","Elev_m"
1,1,444
2,1,444
3,1,444
4,1,521
5,1,823
6,1,688
7,1,630
8,1,722
9,1,944
10,1,1139
11,1,1094
12,1,1344
13,1,1630
14,1,1466
15,1,1112
16,1,770
17,1,902
18,1,1214
19,1,977
20,1,678
21,1,785
22,1,1053
23,1,1213
24,1,1250
25,1,1261
26,1,1223
27,1,1262
28,1,1266
29,1,1320
30,1,1501
31,1,1594
32,1,1480
33,1,1588
34,1,1837
35,1,1789
36,1,1539
37,1,1501
38,1,1499
39,1,1376
40,1,1301
41,1,1275
42,1,1336
43,1,1269
44,1,1395
45,1,1530
46,1,1605
47,1,1485
48,1,1495
49,1,1610
50,1,1685
51,1,1555
52,1,1485
53,1,1565
54,1,1490
55,1,1296
56,1,1145
57,1,1118
58,1,1163
59,1,1280
60,1,1417
61,1,1538
62,1,1611
63,1,1540
64,1,1396
65,1,1235
66,1,1085
67,1,1059
68,1,920
69,1,1054
70,1,1450
71,1,1615
72,1,1498
73,1,1478
74,1,1642
75,1,1676
76,1,1916
77,1,2007
78,1,2000
79,1,2073
80,1,2237
81,1,2182
82,1,2440
83,1,2534
84,1,2665
85,1,2807
86,1,2877
87,1,3196
88,1,3528
89,1,3457
90,1,3353
91,1,3100
92,1,2849
93,1,2793
94,1,3024
95,1,3093
96,1,3115
97,1,3501
98,1,3517
99,1,3606
100,1,3698
101,1,3563
102,1,3362
103,1,2898
104,1,2626
105,1,2465
106,1,2287
107,1,1825
108,1,1778
109,1,1985
110,1,2185
111,1,2395
112,1,2585
113,1,2766
114,1,2785
115,1,2563
116,1,2385
117,1,2374
118,1,2685
119,1,2685
120,1,2462
121,1,2398
122,1,2484
123,1,2454
124,1,2410
125,1,2585
126,1,2785
127,1,2444
128,1,2339
129,1,2335
130,1,2345
131,1,2664
132,1,3123
133,1,2936
134,1,2619
135,1,2418
136,1,2152
137,1,1785
138,1,1576
139,1,1804
140,1,2134
141,1,2361
142,1,2497
143,1,2804
144,1,3047
145,1,2986
146,1,2590
147,1,2241
148,1,2016
149,1,1805
150,1,1624
151,1,1566
152,1,1545
153,1,1598
154,1,1898
155,1,2137
156,1,2070
157,1,2187
158,1,2509
159,1,2629
160,1,2970
161,1,3210
162,1,2987
163,1,2743
164,1,2776
165,1,2822
166,1,2757
167,1,2651
168,1,2612
169,1,2528
170,1,2487
171,1,2630
172,1,2302
173,1,2016
174,1,1801
175,1,1381
176,1,1358
177,1,1588
178,1,1902
179,1,2086
180,1,2288
181,1,2388
182,1,2588
183,1,2852
184,1,3149
185,1,2853
186,1,2615
187,1,2278
188,1,1986
189,1,1810
190,1,1950
191,1,2189
192,1,2305
193,1,2370
194,1,2513
195,1,2787
196,1,2670
197,1,2469
198,1,2140
199,1,2053
200,1,2399
201,1,2731
202,1,2731
203,1,2626
204,1,2589
205,1,2755
206,1,2889
207,1,2689
208,1,2456
209,1,2222
210,1,2189
211,1,2139
212,1,2001
213,1,1689
214,1,1365
215,1,1617
216,1,1849
217,1,2155
218,1,2589
219,1,2377
220,1,2205
221,1,2130
222,1,2029
223,1,1735
224,1,1249
225,1,1314
226,1,1606
227,1,1490
228,1,1598
229,1,1428
230,1,1036
231,1,1159
232,1,1444
233,1,1742
234,1,1785
235,1,1607
236,1,1617
237,1,1648
238,1,1390
239,1,1186
240,1,1186
241,1,1217
242,1,1219
243,1,990
244,1,767
245,1,790
246,1,858
247,1,888
248,1,1141
249,1,1290
250,1,1178
251,1,835
252,1,830
253,1,1222
254,1,1051
255,1,984
256,1,915
257,1,1023
258,1,1348
259,1,1266
260,1,1111
261,1,936
262,1,905
263,1,881
264,1,841
265,1,851
266,1,829
267,1,721
268,1,392
269,1,305
270,1,285
271,1,280
272,1,389
273,1,749
274,1,1043
275,1,1159
276,1,1189
277,1,1199
278,1,1042
279,1,910
280,1,889
281,1,864
282,1,789
283,1,689
284,1,584
285,1,509
286,1,487
287,1,489
288,1,402
289,1,276
290,1,193
291,1,193
292,1,193
293,1,193
294,1,194
295,1,200
296,1,211
297,1,220
298,1,222
299,1,224
300,1,234
301,1,233
302,1,231
303,1,256
304,1,291
305,1,376
306,1,458
307,1,614
308,1,687
309,1,805
310,1,988
311,1,1001
312,1,979
313,1,987
314,1,988
315,1,958
316,1,853
317,1,756
318,1,583
319,1,688
320,1,766
321,1,588
322,1,466
323,1,675
324,1,688
325,1,600
326,1,374
327,1,375
328,1,386
329,1,387
330,1,486
331,1,479
332,1,488
333,1,487
334,1,482
335,1,486
336,1,486
337,1,421
338,1,359
339,1,322
340,1,354
341,1,405
342,1,555
343,1,690
344,1,625
345,1,393
346,1,582
347,1,787
348,1,991
349,1,1068
350,1,1172
351,1,1108
352,1,987
353,1,787
354,1,703
355,1,387
356,1,266
357,1,188
358,1,187
359,1,187
360,1,187
361,1,370
362,1,727
363,1,1019
364,1,1218
365,1,1187
366,1,1187
367,1,1220
368,1,1007
369,1,838
370,1,802
371,1,693
372,1,623
373,1,485
374,1,605
375,1,617
376,1,488
377,1,467
378,1,588
379,1,757
380,1,903
381,1,788
382,1,687
383,1,818
384,1,388
385,1,188
386,1,188
387,1,236
388,1,446
389,1,503
390,1,355
391,1,417
392,1,460
393,1,479
394,1,828
395,1,1162
396,1,1233
397,1,1393
398,1,1388
399,1,1183
400,1,1130
401,1,1175
402,1,1306
403,1,1374
404,1,1387
405,1,1337
406,1,1305
407,1,1115
408,1,875
409,1,830
410,1,825
411,1,801
412,1,688
413,1,865
414,1,1188
415,1,1376
416,1,1136
417,1,861
418,1,595
419,1,488
420,1,383
421,1,445
422,1,670
423,1,793
424,1,689
425,1,683
426,1,721
427,1,889
428,1,963
429,1,789
430,1,982
431,1,1203
432,1,1435
433,1,1663
434,1,1689
435,1,1737
436,1,1589
437,1,1189
438,1,896
439,1,753
440,1,689
441,1,768
442,1,857
443,1,961
444,1,896
445,1,796
446,1,652
447,1,515
448,1,475
449,1,475
450,1,546
451,1,586
452,1,645
453,1,720
454,1,689
455,1,749
456,1,684
457,1,590
458,1,538
459,1,555
460,1,589
461,1,641
462,1,780
463,1,920
464,1,1088
465,1,989
466,1,889
467,1,1081
468,1,1090
469,1,1175
470,1,1358
471,1,1486
472,1,1593
473,1,1543
474,1,1247
475,1,1039
476,1,964
477,1,1048
478,1,823
479,1,565
480,1,265
481,1,214
482,1,238
483,1,260
484,1,282
485,1,362
486,1,539
487,1,842
488,1,1146
489,1,1499
490,1,1690
491,1,1458
492,1,1255
493,1,1318
494,1,1544
495,1,1701
496,1,1891
497,1,2001
498,1,1963
1,2,444
2,2,444
3,2,478
4,2,628
5,2,1064
6,2,811
7,2,627
8,2,658
9,2,776
10,2,760
11,2,853
12,2,1185
13,2,1341
14,2,1325
15,2,1333
16,2,1026
17,2,743
18,2,824
19,2,845
20,2,630
21,2,672
22,2,969
23,2,1050
24,2,1091
25,2,1309
26,2,1489
27,2,1598
28,2,1613
29,2,1581
30,2,1484
31,2,1440
32,2,1360
33,2,1408
34,2,1387
35,2,1360
36,2,1464
37,2,1718
38,2,1789
39,2,1798
40,2,1727
41,2,1591
42,2,1575
43,2,1514
44,2,1287
45,2,1299
46,2,1381
47,2,1562
48,2,1699
49,2,1671
50,2,1703
51,2,1643
52,2,1663
53,2,1633
54,2,1500
55,2,1385
56,2,1259
57,2,1160
58,2,1080
59,2,1119
60,2,1250
61,2,1333
62,2,1358
63,2,1363
64,2,1304
65,2,1173
66,2,995
67,2,865
68,2,925
69,2,1329
70,2,1608
71,2,1831
72,2,1755
73,2,1634
74,2,1640
75,2,1546
76,2,1467
77,2,1479
78,2,1494
79,2,1456
80,2,1656
81,2,1751
82,2,2072
83,2,1953
84,2,2262
85,2,2536
86,2,2590
87,2,3011
88,2,3549
89,2,3531
90,2,3320
91,2,3061
92,2,2803
93,2,2582
94,2,2438
95,2,2629
96,2,2891
97,2,3287
98,2,3072
99,2,2836
100,2,2792
101,2,3030
102,2,3408
103,2,3176
104,2,3118
105,2,3019
106,2,2685
107,2,2301
108,2,1900
109,2,1879
110,2,2218
111,2,2440
112,2,2521
113,2,2616
114,2,2685
115,2,2626
116,2,2385
117,2,2183
118,2,2335
119,2,2570
120,2,2661
121,2,2785
122,2,2695
123,2,2385
124,2,2243
125,2,2438
126,2,2687
127,2,2715
128,2,2760
129,2,2626
130,2,2494
131,2,2785
132,2,3185
133,2,2858
134,2,2474
135,2,2218
136,2,2069
137,2,2011
138,2,1817
139,2,1820
140,2,2073
141,2,2236
142,2,2283
143,2,2485
144,2,2750
145,2,3030
146,2,3185
147,2,2712
148,2,2386
149,2,2246
150,2,2044
151,2,2075
152,2,1941
153,2,1765
154,2,1710
155,2,1640
156,2,1759
157,2,2012
158,2,2187
159,2,2435
160,2,2719
161,2,2987
162,2,2852
163,2,2649
164,2,2887
165,2,3087
166,2,2982
167,2,3087
168,2,3087
169,2,2874
170,2,2850
171,2,2645
172,2,2201
173,2,2091
174,2,2058
175,2,1888
176,2,1487
177,2,1521
178,2,1788
179,2,1965
180,2,2288
181,2,2634
182,2,2770
183,2,2918
184,2,3088
185,2,2830
186,2,2388
187,2,2152
188,2,2200
189,2,2105
190,2,2081
191,2,2239
192,2,2550
193,2,2599
194,2,2676
195,2,2789
196,2,2816
197,2,2654
198,2,2340
199,2,2202
200,2,2389
201,2,2763
202,2,2932
203,2,2876
204,2,2739
205,2,2879
206,2,2907
207,2,2750
208,2,2579
209,2,2400
210,2,2315
211,2,2303
212,2,2213
213,2,1747
214,2,1469
215,2,1929
216,2,2303
217,2,2339
218,2,2372
219,2,2205
220,2,1972
221,2,1778
222,2,1512
223,2,1315
224,2,1357
225,2,1684
226,2,2026
227,2,1945
228,2,1679
229,2,1360
230,2,1112
231,2,1341
232,2,1496
